"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"SW2,SW1";"SKRPABE010";2;"SW_Push";;;
2;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
3;"J2";"ProMicro_LIKE_LEFT_NO_GND";1;"ProMicro-LeftPin-NoGND";;;
4;"C3,C2";"Capacitor_0805_2012";2;"12p";;;
5;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32V103C8T6";;;
6;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768k";;;
7;"U1";"SOT-89-3_Handsoldering";1;"AMS1117-3.3";;;
8;"J1";"USB-C-12-Pin-SMD";1;"USB2.0_C_v3";;;
9;"J3";"ProMicro_LIKE_RIGHT";1;"ProMicro-RightPin";;;
10;"C1";"Capacitor_0805_2012";1;"10u";;;
11;"R6,R5,R7";"Register_0805_2012";3;"10k";;;
12;"R4";"Register_0805_2012";1;"0";;;
13;"REF**";"JLCJLCJLCJLC";1;"JLCJLCJLCJLC";;;
14;"C10,C9";"Capacitor_0805_2012";2;"22p";;;
15;"C4";"Capacitor_0805_2012";1;"2.2u";;;
16;"R1,R2";"Register_0805_2012";2;"5.1k";;;
17;"C8,C7,C5,C6";"Capacitor_0805_2012";4;"100n";;;
18;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"8M";;;
19;"R3";"Register_0805_2012";1;"200";;;
